""	"Coral.tag"	"Complete_sets"	"Proportion_TissueLost_Jan21"	"Proportion_TissueLost_End"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Probiotic"	"Collection.month"	"Collection.year"	"sampled"	"Sequencing.Run"
"BS2-2407-HD-O"	"2407"	"no"	"nd"	"nd"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2415-DD-O"	"2415"	"yes"	"7.8"	"9.7"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2415-HD-O"	"2415"	"yes"	"7.8"	"9.7"	"probiotic bag"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2432-HH-O"	"2432"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2433-DD-O"	"2433"	"yes"	"-1.8"	"25.8"	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2433-HD-O"	"2433"	"yes"	"-1.8"	"25.8"	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2453-DD-O"	"2453"	"no"	"0.7"	"10.2"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2453-HD-O"	"2453"	"no"	"0.7"	"10.2"	"probiotic bag"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2460-DD-O"	"2460"	"no"	"3.4"	"39.7"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2464-DD-O"	"2464"	"no"	"96.7"	"100"	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2464-HD-O"	"2464"	"no"	"96.7"	"100"	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2474-DD-O"	"2474"	"yes"	"7.9"	"30.6"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2474-HD-O"	"2474"	"yes"	"7.9"	"30.6"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2475-DD-O"	"2475"	"yes"	"8.5"	"19.5"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2475-HD-O"	"2475"	"yes"	"8.5"	"19.5"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2478-DD-O"	"2478"	"no"	"4.9"	"91.7"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2479-DD-O"	"2479"	"yes"	"3"	"12.7"	"control bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2479-HD-O"	"2479"	"yes"	"3"	"12.7"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2480-HD-O"	"2480"	"no"	"1.5"	"39.7"	"control paste"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2482-DD-O"	"2482"	"yes"	"100"	"100"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2482-HD-O"	"2482"	"yes"	"100"	"100"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2483-DD-O"	"2483"	"yes"	"91.5"	"100"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2483-HD-O"	"2483"	"yes"	"91.5"	"100"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2499-DD-O"	"2499"	"no"	"1.2"	"12.7"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2499-HD-O"	"2499"	"no"	"1.2"	"12.7"	"control paste"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2500-DD-O"	"2500"	"yes"	"14.2"	"32.9"	"control paste"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2500-HD-O"	"2500"	"yes"	"14.2"	"32.9"	"control paste"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2662-HH-O"	"2662"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2672-HH-O"	"2672"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2673-HH-O"	"2673"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2675-DD-O"	"2675"	"no"	"0"	"-3.9"	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2685-DD-O"	"2685"	"no"	"0"	"-0.3"	"probiotic bag"	"BS2"	"MCAV"	"DD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2685-HD-O"	"2685"	"no"	"0"	"-0.3"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2694-HH-O"	"2694"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2172"
"BS2-2198-HD-O"	"2198"	"yes"	"2.2"	"9.2"	"control bag"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2408"
"BS2-2675-HD-O"	"2675"	"no"	"0"	"-3.9"	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2408"
"BS2-2683-HH-O"	"2683"	"no"	"nd"	"nd"	"none"	"BS2"	"MCAV"	"HH"	"NO"	"Oct"	"2020"	"Two weeks after treatment"	"NS2408"
