sample	tag	treatment	site	species	condition	treated	month	year	tabled	GenBank accession
75HD-1681	1681	control bag	BS1	MCAV	HH	NO	Jan	2020	12436	
76HD-1692	1692	control bag	BS1	MCAV	HH	NO	Jan	2020	3142	
77HD-1832	1832	probiotic bag	BS1	MCAV	HH	YES	Jan	2020	20760	
87HD-1564	1564	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	11991	
88HD-1657	1657	probiotic bag	BS1	MCAV	HD	YES	Jan	2020	29799	
89DD-1657	1657	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	12247	
90DD-1564	1564	probiotic bag	BS1	MCAV	DD	YES	Jan	2020	126326	
BS2-1-HH-A	1	none	BS2	MCAV	HH	NO	Oct	2020	1538	
BS2-10H-A	10	none	BS2	MCAV	HH	NO	Oct	2020	2452	
BS2-1566-DD-A	1566	none	BS2	MCAV	DD	NO	Aug	2020	25132	
BS2-1566-DD-D	1566	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	28008	
BS2-1566-DD-O	1566	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	13911	
BS2-1566-HD-A	1566	none	BS2	MCAV	HD	NO	Aug	2020	27209	
BS2-1566-HD-D	1566	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	46923	
BS2-1566-HD-O	1566	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	23176	
BS2-1689-DD-A	1689	none	BS2	MCAV	DD	NO	Aug	2020	131561	
BS2-1689-DD-D	1689	probiotic bag	BS2	MCAV	DD	YES	Jan	2021	10752	
BS2-1689-DD-O	1689	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	22200	
BS2-1689-HD-A	1689	none	BS2	MCAV	HD	NO	Aug	2020	25683	
BS2-1689-HD-D	1689	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	8926	
BS2-1689-HD-O	1689	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	1155	
BS2-1842-DD-A	1842	none	BS2	MCAV	DD	NO	Aug	2020	17426	
BS2-1842-DD-O	1842	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	87945	
BS2-1842-HD-A	1842	none	BS2	MCAV	HD	NO	Aug	2020	61542	
BS2-1842-HD-D	1842	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	111648	
BS2-1842-HD-O	1842	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	3472	
BS2-1894-HH-A	1894	none	BS2	MCAV	HH	NO	Aug	2020	50983	
BS2-1925-DD-A	1925	none	BS2	MCAV	DD	NO	Aug	2020	42757	
BS2-1925-DD-O	1925	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	4410	
BS2-1925-HD-A	1925	none	BS2	MCAV	HD	NO	Aug	2020	3047	
BS2-1925-HD-D	1925	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	19657	
BS2-1925-HD-O	1925	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	5272	
BS2-2006-DD-A	2006	none	BS2	MCAV	DD	NO	Aug	2020	116827	
BS2-2006-DD-D	2006	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	25064	
BS2-2006-DD-O	2006	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	3955	
BS2-2006-HD-A	2006	none	BS2	MCAV	HD	NO	Aug	2020	4574	
BS2-2006-HD-D	2006	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	14950	
BS2-2006-HD-O	2006	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	7249	
BS2-2019-DD-A	2019	none	BS2	MCAV	DD	NO	Aug	2020	29900	
BS2-2019-DD-O	2019	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	20300	
BS2-2019-HD-A	2019	none	BS2	MCAV	HD	NO	Aug	2020	11638	
BS2-2019-HD-D	2019	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	51865	
BS2-2019-HD-O	2019	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	4706	
BS2-2048-DD-A	2048	none	BS2	MCAV	DD	NO	Aug	2020	22346	
BS2-2048-DD-D	2048	control bag	BS2	MCAV	DD	NO	Jan	2021	37249	
BS2-2048-DD-O	2048	control bag	BS2	MCAV	DD	NO	Oct	2020	5657	
BS2-2048-HD-A	2048	none	BS2	MCAV	HD	NO	Aug	2020	4518	
BS2-2048-HD-O	2048	control bag	BS2	MCAV	HD	NO	Oct	2020	11901	
BS2-2065-DD-D	2065	none	BS2	MCAV	DD	NO	Jan	2021	10439	
BS2-2065-HD-D	2065	none	BS2	MCAV	HD	NO	Jan	2021	27329	
BS2-2065-HH-A	2065	none	BS2	MCAV	HH	NO	Aug	2020	62484	
BS2-2065-HH-O	2065	none	BS2	MCAV	HH	NO	Oct	2020	890	
BS2-2076-DD-A	2076	none	BS2	MCAV	DD	NO	Aug	2020	22140	
BS2-2076-DD-O	2076	control bag	BS2	MCAV	DD	NO	Oct	2020	258736	
BS2-2076-HD-A	2076	none	BS2	MCAV	HD	NO	Aug	2020	19591	
BS2-2076-HD-D	2076	control bag	BS2	MCAV	HD	NO	Jan	2021	23261	
BS2-2076-HD-O	2076	control bag	BS2	MCAV	HD	NO	Oct	2020	41677	
BS2-2077-DD-A	2077	none	BS2	MCAV	DD	NO	Aug	2020	77894	
BS2-2077-DD-D	2077	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	352222	
BS2-2077-DD-O	2077	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	466	
BS2-2077-HD-A	2077	none	BS2	MCAV	HD	NO	Aug	2020	17907	
BS2-2077-HD-O	2077	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	698	
BS2-2078-DD-A	2078	none	BS2	MCAV	DD	NO	Aug	2020	18828	
BS2-2078-DD-O	2078	none	BS2	MCAV	DD	NO	Oct	2020	3563	
BS2-2078-HD-D	2078	none	BS2	MCAV	HD	NO	Jan	2021	17262	
BS2-2078-HD-O	2078	none	BS2	MCAV	HD	NO	Oct	2020	79918	
BS2-2078-HH-A	2078	none	BS2	MCAV	HH	NO	Aug	2020	88722	
BS2-2079-DD-A	2079	none	BS2	MCAV	DD	NO	Aug	2020	37065	
BS2-2079-DD-D	2079	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	54783	
BS2-2079-DD-O	2079	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	19386	
BS2-2079-HD-A	2079	none	BS2	MCAV	HD	NO	Aug	2020	12698	
BS2-2079-HD-D	2079	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	19187	
BS2-2079-HD-O	2079	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	24087	
BS2-2080-DD-A	2080	none	BS2	MCAV	DD	NO	Aug	2020	204531	
BS2-2080-DD-O	2080	control paste	BS2	MCAV	DD	NO	Oct	2020	5498	
BS2-2080-HD-A	2080	none	BS2	MCAV	HD	NO	Aug	2020	31949	
BS2-2080-HD-O	2080	control paste	BS2	MCAV	HD	NO	Oct	2020	573	
BS2-2091-DD-A	2091	none	BS2	MCAV	DD	NO	Aug	2020	30763	
BS2-2091-DD-D	2091	control paste	BS2	MCAV	DD	NO	Jan	2021	60627	
BS2-2091-DD-O	2091	control paste	BS2	MCAV	DD	NO	Oct	2020	237311	
BS2-2091-HD-A	2091	none	BS2	MCAV	HD	NO	Aug	2020	28059	
BS2-2091-HD-D	2091	control paste	BS2	MCAV	HD	NO	Jan	2021	4653	
BS2-2091-HD-O	2091	control paste	BS2	MCAV	HD	NO	Oct	2020	6407	
BS2-2149-DD-A	2149	none	BS2	MCAV	DD	NO	Aug	2020	82360	
BS2-2149-DD-O	2149	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	15165	
BS2-2149-HD-A	2149	none	BS2	MCAV	HD	NO	Aug	2020	59018	
BS2-2149-HD-D	2149	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	132211	
BS2-2149-HD-O	2149	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	8908	
BS2-2150-HH-A	2150	none	BS2	MCAV	HH	NO	Aug	2020	1828	
BS2-2150-HH-O	2150	none	BS2	MCAV	HH	NO	Oct	2020	20681	
BS2-2155-DD-A	2155	none	BS2	MCAV	DD	NO	Aug	2020	151800	
BS2-2155-DD-D	2155	control paste	BS2	MCAV	DD	NO	Jan	2021	126885	
BS2-2155-DD-O	2155	control paste	BS2	MCAV	DD	NO	Oct	2020	92079	
BS2-2155-HD-A	2155	none	BS2	MCAV	HD	NO	Aug	2020	34465	
BS2-2155-HD-D	2155	control paste	BS2	MCAV	HD	NO	Jan	2021	6286	
BS2-2155-HD-O	2155	control paste	BS2	MCAV	HD	NO	Oct	2020	3532	
BS2-2161-DD-A	2161	none	BS2	MCAV	DD	NO	Aug	2020	99331	
BS2-2179-DD-A	2179	none	BS2	MCAV	DD	NO	Aug	2020	354287	
BS2-2179-DD-O	2179	control paste	BS2	MCAV	DD	NO	Oct	2020	51795	
BS2-2179-HD-A	2179	none	BS2	MCAV	HD	NO	Aug	2020	150131	
BS2-2179-HD-O	2179	control paste	BS2	MCAV	HD	NO	Oct	2020	14825	
BS2-2180-DD-A	2180	none	BS2	MCAV	DD	NO	Aug	2020	53689	
BS2-2180-DD-D	2180	control bag	BS2	MCAV	DD	NO	Jan	2021	130258	
BS2-2180-DD-O	2180	control bag	BS2	MCAV	DD	NO	Oct	2020	8808	
BS2-2180-HD-A	2180	none	BS2	MCAV	HD	NO	Aug	2020	52177	
BS2-2180-HD-D	2180	control bag	BS2	MCAV	HD	NO	Jan	2021	32822	
BS2-2180-HD-O	2180	control bag	BS2	MCAV	HD	NO	Oct	2020	3327	
BS2-2198-DD-A	2198	none	BS2	MCAV	DD	NO	Aug	2020	31052	
BS2-2198-DD-O	2198	control bag	BS2	MCAV	DD	NO	Oct	2020	4683	
BS2-2198-HD-A	2198	none	BS2	MCAV	HD	NO	Aug	2020	16085	
BS2-2198-HD-O	2198	control bag	BS2	MCAV	HD	NO	Oct	2020	8698	
BS2-2407-DD-O	2407	control bag	BS2	MCAV	DD	NO	Oct	2020	2208	
BS2-2407-HD-D	2407	control bag	BS2	MCAV	HD	NO	Jan	2021	35165	
BS2-2407-HD-O	2407	control bag	BS2	MCAV	HD	NO	Oct	2020	6981	
BS2-2415-DD-A	2415	none	BS2	MCAV	DD	NO	Aug	2020	44755	
BS2-2415-DD-O	2415	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	99319	
BS2-2415-HD-A	2415	none	BS2	MCAV	HD	NO	Aug	2020	19179	
BS2-2415-HD-D	2415	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	61448	
BS2-2415-HD-O	2415	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	43871	
BS2-2432-DD-A	2432	none	BS2	MCAV	DD	NO	Aug	2020	93644	
BS2-2432-HD-A	2432	none	BS2	MCAV	HD	NO	Aug	2020	74883	
BS2-2432-HD-D	2432	none	BS2	MCAV	HD	NO	Jan	2021	12113	
BS2-2432-HH-O	2432	none	BS2	MCAV	HH	NO	Oct	2020	89475	
BS2-2433-DD-A	2433	none	BS2	MCAV	DD	NO	Aug	2020	47834	
BS2-2433-DD-O	2433	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	12790	
BS2-2433-HD-A	2433	none	BS2	MCAV	HD	NO	Aug	2020	25096	
BS2-2433-HD-D	2433	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	14058	
BS2-2433-HD-O	2433	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	3788	
BS2-2453-DD-O	2453	probiotic bag	BS2	MCAV	DD	YES	Oct	2020	6276	
BS2-2453-HD-D	2453	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	33809	
BS2-2453-HD-O	2453	probiotic bag	BS2	MCAV	HD	YES	Oct	2020	2980	
BS2-2460-DD-O	2460	control bag	BS2	MCAV	DD	NO	Oct	2020	7501	
BS2-2460-HD-D	2460	control bag	BS2	MCAV	HD	NO	Jan	2021	26785	
BS2-2460-HD-O	2460	control bag	BS2	MCAV	HD	NO	Oct	2020	314	
BS2-2464-DD-D	2464	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	39310	
BS2-2464-DD-O	2464	probiotic paste	BS2	MCAV	DD	YES	Oct	2020	6964	
BS2-2464-HD-O	2464	probiotic paste	BS2	MCAV	HD	YES	Oct	2020	2796	
BS2-2474-DD-A	2474	none	BS2	MCAV	DD	NO	Aug	2020	45917	
BS2-2474-DD-D	2474	none	BS2	MCAV	DD	NO	Jan	2021	169598	
BS2-2474-DD-O	2474	none	BS2	MCAV	DD	NO	Oct	2020	2161	
BS2-2474-HD-A	2474	none	BS2	MCAV	HD	NO	Aug	2020	2849	
BS2-2474-HD-D	2474	none	BS2	MCAV	HD	NO	Jan	2021	55721	
BS2-2474-HD-O	2474	none	BS2	MCAV	HD	NO	Oct	2020	27434	
BS2-2475-DD-D	2475	control bag	BS2	MCAV	DD	NO	Jan	2021	100977	
BS2-2475-DD-O	2475	control bag	BS2	MCAV	DD	NO	Oct	2020	307388	
BS2-2475-HD-D	2475	control bag	BS2	MCAV	HD	NO	Jan	2021	19172	
BS2-2475-HD-O	2475	control bag	BS2	MCAV	HD	NO	Oct	2020	5969	
BS2-2478-DD-O	2478	control paste	BS2	MCAV	DD	NO	Oct	2020	19820	
BS2-2478-HD-D	2478	control paste	BS2	MCAV	HD	NO	Jan	2021	9294	
BS2-2478-HD-O	2478	control paste	BS2	MCAV	HD	NO	Oct	2020	863	
BS2-2479-DD-D	2479	control bag	BS2	MCAV	DD	NO	Jan	2021	86448	
BS2-2479-DD-O	2479	control bag	BS2	MCAV	DD	NO	Oct	2020	56296	
BS2-2479-HD-D	2479	control bag	BS2	MCAV	HD	NO	Jan	2021	25466	
BS2-2479-HD-O	2479	control bag	BS2	MCAV	HD	NO	Oct	2020	7530	
BS2-2480-DD-D	2480	control paste	BS2	MCAV	DD	NO	Jan	2021	87510	
BS2-2480-HD-D	2480	control paste	BS2	MCAV	HD	NO	Jan	2021	34947	
BS2-2480-HD-O	2480	control paste	BS2	MCAV	HD	NO	Oct	2020	3720	
BS2-2482-DD-A	2482	none	BS2	MCAV	DD	NO	Aug	2020	213454	
BS2-2482-DD-O	2482	none	BS2	MCAV	DD	NO	Oct	2020	19420	
BS2-2482-HD-A	2482	none	BS2	MCAV	HD	NO	Aug	2020	16048	
BS2-2482-HD-O	2482	none	BS2	MCAV	HD	NO	Oct	2020	68159	
BS2-2483-DD-D	2483	none	BS2	MCAV	DD	NO	Jan	2021	8341	
BS2-2483-DD-O	2483	none	BS2	MCAV	DD	NO	Oct	2020	44200	
BS2-2483-HD-A	2483	none	BS2	MCAV	HD	NO	Aug	2020	1124	
BS2-2483-HD-O	2483	none	BS2	MCAV	HD	NO	Oct	2020	8817	
BS2-2499-DD-O	2499	control paste	BS2	MCAV	DD	NO	Oct	2020	36004	
BS2-2499-HD-D	2499	control paste	BS2	MCAV	HD	NO	Jan	2021	118824	
BS2-2499-HD-O	2499	control paste	BS2	MCAV	HD	NO	Oct	2020	24562	
BS2-2500-DD-D	2500	control paste	BS2	MCAV	DD	NO	Jan	2021	74348	
BS2-2500-DD-O	2500	control paste	BS2	MCAV	DD	NO	Oct	2020	43648	
BS2-2500-HD-D	2500	control paste	BS2	MCAV	HD	NO	Jan	2021	106225	
BS2-2500-HD-O	2500	control paste	BS2	MCAV	HD	NO	Oct	2020	129535	
BS2-2652-DD-D	2652	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	160052	
BS2-2652-HD-D	2652	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	7778	
BS2-2661-DD-D	2661	none	BS2	MCAV	DD	NO	Jan	2021	4364	
BS2-2661-HD-D	2661	none	BS2	MCAV	HD	NO	Jan	2021	23136	
BS2-2662-HH-D	2662	resistant	BS2	MCAV	HH	NO	Jan	2021	4512	
BS2-2662-HH-O	2662	resistant	BS2	MCAV	HH	NO	Oct	2020	4015	
BS2-2672-HH-O	2672	resistant	BS2	MCAV	HH	NO	Oct	2020	68011	
BS2-2673-HH-D	2673	resistant	BS2	MCAV	HH	NO	Jan	2021	38660	
BS2-2673-HH-O	2673	resistant	BS2	MCAV	HH	NO	Oct	2020	2829	
BS2-2674-DD-D	2674	control paste	BS2	MCAV	DD	NO	Jan	2021	29833	
BS2-2674-HD-D	2674	control paste	BS2	MCAV	HD	NO	Jan	2021	5904	
BS2-2675-DD-O	2675	none	BS2	MCAV	DD	NO	Oct	2020	12322	
BS2-2675-HD-D	2675	none	BS2	MCAV	HD	NO	Jan	2021	95635	
BS2-2675-HD-O	2675	none	BS2	MCAV	HD	NO	Oct	2020	1163	
BS2-2683-HH-D	2683	resistant	BS2	MCAV	HH	NO	Jan	2021	17287	
BS2-2683-HH-O	2683	resistant	BS2	MCAV	HH	NO	Oct	2020	1386	
BS2-2685-DD-O	2685	probiotic bag	BS2	MCAV	DD	NO	Oct	2020	2353	
BS2-2685-HD-D	2685	none	BS2	MCAV	HD	NO	Jan	2021	3508	
BS2-2685-HD-O	2685	none	BS2	MCAV	HD	NO	Oct	2020	31260	
BS2-2693-HD-D	2693	none	BS2	MCAV	HD	NO	Jan	2021	75421	
BS2-2694-HH-D	2694	resistant	BS2	MCAV	HH	NO	Jan	2021	93702	
BS2-2694-HH-O	2694	resistant	BS2	MCAV	HH	NO	Oct	2020	56023	
BS2-3-HH-A	3	none	BS2	MCAV	HH	NO	Oct	2020	11511	
BS2-4H-A	4	none	BS2	MCAV	HH	NO	Oct	2020	3117	
BS2-5-HH-A	5	none	BS2	MCAV	HH	NO	Oct	2020	2981	
BS2-6H-A	6	none	BS2	MCAV	HH	NO	Oct	2020	1564	
BS2-7H-A	7	none	BS2	MCAV	HH	NO	Oct	2020	3134	
BS2-8H-A	8	none	BS2	MCAV	HH	NO	Oct	2020	2901	
BS2-9H-A	9	none	BS2	MCAV	HH	NO	Oct	2020	3422	
BS2-2048-HD-D	2048	control bag	BS2	MCAV	HD	NO	Jan	2021	4528	
BS2-2179-HD-D	2179	control paste	BS2	MCAV	HD	NO	Jan	2021	3138	
BS2-2433-DD-D	2433	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	50604	
BS2-2478-DD-D	2478	control paste	BS2	MCAV	DD	NO	Jan	2021	14399	
BS2-2483-HD-D	2483	none	BS2	MCAV	HD	NO	Jan	2021	6549	
BS2-2672-HH-D	2672	none	BS2	MCAV	HH	NO	Jan	2021	1725	
BS3-2041-DD-A	2041	none	BS3	MCAV	DD	NO	July	2021	12723	
BS3-2041-DD-B	2041	probiotic paste and bag	BS3	MCAV	DD	YES	Aug	2021	20979	
BS3-2041-HD-A	2041	none	BS3	MCAV	HD	NO	July	2021	4157	
BS3-2041-HD-B	2041	probiotic paste and bag	BS3	MCAV	HD	YES	Aug	2021	12005	
BS3-2041-HH-C	2041	probiotic paste and bag	BS3	MCAV	HH	YES	Nov	2021	5642	
BS3-2116-DD-A	2116	none	BS3	MCAV	DD	NO	July	2021	2336	
BS3-2116-HD-A	2116	none	BS3	MCAV	HD	NO	July	2021	1873	
BS3-2116-HH-C	2116	none	BS3	MCAV	HH	NO	Nov	2021	9962	
BS3-2264-DD-A	2264	none	BS3	MCAV	DD	NO	July	2021	3097	
BS3-2264-DD-B	2264	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	29380	
BS3-2264-DD-C	2264	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	32431	
BS3-2264-HD-A	2264	none	BS3	MCAV	HD	NO	July	2021	1153	
BS3-2264-HD-B	2264	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	3178	
BS3-2264-HD-C	2264	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	25465	
BS3-2265-DD-A	2265	none	BS3	MCAV	DD	NO	July	2021	2073	
BS3-2265-DD-B	2265	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	14331	
BS3-2265-DD-C	2265	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	6091	
BS3-2265-HD-A	2265	none	BS3	MCAV	HD	NO	July	2021	3613	
BS3-2265-HD-B	2265	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	2544	
BS3-2265-HD-C	2265	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	1225	
BS3-2266-DD-A	2266	none	BS3	MCAV	DD	NO	July	2021	12636	
BS3-2266-DD-B	2266	probiotic paste and bag	BS3	MCAV	DD	YES	Aug	2021	39786	
BS3-2266-DD-C	2266	probiotic paste and bag	BS3	MCAV	DD	YES	Nov	2021	6156	
BS3-2266-HD-A	2266	none	BS3	MCAV	HD	NO	July	2021	3130	
BS3-2266-HD-B	2266	probiotic paste and bag	BS3	MCAV	HD	YES	Aug	2021	5269	
BS3-2266-HD-C	2266	probiotic paste and bag	BS3	MCAV	HD	YES	Nov	2021	2430	
BS3-2267-HH-A	2267	none	BS3	MCAV	HH	NO	July	2021	931	
BS3-2267-HH-B	2267	none	BS3	MCAV	HH	NO	Aug	2021	2201	
BS3-2267-HH-C	2267	none	BS3	MCAV	HH	NO	Nov	2021	1846	
BS3-2268-DD-A	2268	none	BS3	MCAV	DD	NO	July	2021	10627	
BS3-2268-DD-B	2268	probiotic paste and bag	BS3	MCAV	DD	YES	Aug	2021	18468	
BS3-2268-HD-A	2268	none	BS3	MCAV	HD	NO	July	2021	2536	
BS3-2268-HD-B	2268	probiotic paste and bag	BS3	MCAV	HD	YES	Aug	2021	2705	
BS3-2268-HH-C	2268	probiotic paste and bag	BS3	MCAV	HH	YES	Nov	2021	2180	
BS3-2362-DD-B	2362	probiotic paste and bag	BS3	MCAV	DD	YES	Aug	2021	30322	
BS3-2362-DD-C	2362	probiotic paste and bag	BS3	MCAV	DD	YES	Nov	2021	6795	
BS3-2362-HD-A	2362	none	BS3	MCAV	HD	NO	July	2021	3525	
BS3-2362-HD-B	2362	probiotic paste and bag	BS3	MCAV	HD	YES	Aug	2021	9406	
BS3-2362-HD-C	2362	probiotic paste and bag	BS3	MCAV	HD	YES	Nov	2021	5542	
BS3-2363-DD-A	2363	none	BS3	MCAV	DD	NO	July	2021	5741	
BS3-2363-HD-A	2363	none	BS3	MCAV	HD	NO	July	2021	1941	
BS3-2363-HH-B	2363	probiotic paste and bag	BS3	MCAV	HH	YES	Aug	2021	2553	
BS3-2363-HH-C	2363	probiotic paste and bag	BS3	MCAV	HH	YES	Nov	2021	2876	
BS3-2364-DD-A	2364	none	BS3	MCAV	DD	NO	July	2021	1692	
BS3-2364-DD-B	2364	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	41757	
BS3-2364-DD-C	2364	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	21744	
BS3-2364-HD-A	2364	none	BS3	MCAV	HD	NO	July	2021	1844	
BS3-2364-HD-B	2364	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	16361	
BS3-2364-HD-C	2364	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	3299	
