	Coral.tag	Complete_sets	Proportion_TissueLost_Jan21	Proportion_TissueLost_End	Treatment	Site	Coral.species	Condition	Probiotic	Collection.month	Collection.year	sampled	Sequencing.Run
BS2-2180-DD-D	2180	yes	18.1	100	control bag	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2180-HD-D	2180	yes	18.1	100	control bag	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2407-HD-D	2407	no	nd	nd	control bag	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2415-HD-D	2415	yes	7.8	9.7	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	Three months after treatment	NS2211
BS2-2432-HD-D	2432	no	nd	nd	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2433-HD-D	2433	yes	-1.8	25.8	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	Three months after treatment	NS2211
BS2-2453-HD-D	2453	no	0.7	10.2	probiotic bag	BS2	MCAV	HD	YES	Jan	2021	Three months after treatment	NS2211
BS2-2460-HD-D	2460	no	3.4	39.7	control bag	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2464-DD-D	2464	no	96.7	100	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	Three months after treatment	NS2211
BS2-2474-DD-D	2474	yes	7.9	30.6	none	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2474-HD-D	2474	yes	7.9	30.6	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2475-DD-D	2475	yes	8.5	19.5	control bag	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2475-HD-D	2475	yes	8.5	19.5	control bag	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2478-HD-D	2478	no	4.9	91.7	control paste	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2479-DD-D	2479	yes	3	12.7	control bag	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2479-HD-D	2479	yes	3	12.7	control bag	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2480-DD-D	2480	no	1.5	39.7	control paste	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2480-HD-D	2480	no	1.5	39.7	control paste	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2483-DD-D	2483	yes	91.5	100	none	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2499-HD-D	2499	no	1.2	12.7	control paste	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2500-DD-D	2500	yes	14.2	32.9	control paste	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2500-HD-D	2500	yes	14.2	32.9	control paste	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2652-DD-D	2652	no	0	36.8	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	Three months after treatment	NS2211
BS2-2652-HD-D	2652	no	0	36.8	probiotic paste	BS2	MCAV	HD	YES	Jan	2021	Three months after treatment	NS2211
BS2-2661-DD-D	2661	no	0	39.1	none	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2661-HD-D	2661	no	0	39.1	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2662-HH-D	2662	no	nd	nd	none	BS2	MCAV	HH	NO	Jan	2021	Three months after treatment	NS2211
BS2-2673-HH-D	2673	no	nd	nd	none	BS2	MCAV	HH	NO	Jan	2021	Three months after treatment	NS2211
BS2-2674-DD-D	2674	no	0	39.2	control paste	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2674-HD-D	2674	no	0	39.2	control paste	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2675-HD-D	2675	no	0	-3.9	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2683-HH-D	2683	no	nd	nd	none	BS2	MCAV	HH	NO	Jan	2021	Three months after treatment	NS2211
BS2-2685-HD-D	2685	no	0	-0.3	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2693-HD-D	2693	no	0	28.9	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2211
BS2-2694-HH-D	2694	no	nd	nd	none	BS2	MCAV	HH	NO	Jan	2021	Three months after treatment	NS2211
BS2-2048-HD-D	2048	yes	45.3	100	control bag	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2408
BS2-2179-HD-D	2179	yes	5.9	4.5	control paste	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2408
BS2-2433-DD-D	2433	yes	-1.8	25.8	probiotic paste	BS2	MCAV	DD	YES	Jan	2021	Three months after treatment	NS2408
BS2-2478-DD-D	2478	no	4.9	91.7	control paste	BS2	MCAV	DD	NO	Jan	2021	Three months after treatment	NS2408
BS2-2483-HD-D	2483	yes	91.5	100	none	BS2	MCAV	HD	NO	Jan	2021	Three months after treatment	NS2408
BS2-2672-HH-D	2672	no	nd	nd	none	BS2	MCAV	HH	NO	Jan	2021	Three months after treatment	NS2408
