""	"sample"	"ASV"	"relative_abundance"	"Coral.tag"	"Complete_sets"	"Proportion_TissueLost_Jan21"	"Proportion_TissueLost_End"	"Treatment"	"Site"	"Coral.species"	"Condition"	"Probiotic"	"Collection.month"	"Collection.year"	"sampled"	"Sequencing.Run"
"15"	"BS2-1566-DD-A"	"Nautella_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"16"	"BS2-1566-DD-A"	"Thalassobius_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"17"	"BS2-1566-DD-A"	"Vibrio_ASV4"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"18"	"BS2-1566-DD-A"	"Halodesulfovibrio_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"19"	"BS2-1566-DD-A"	"Vibrio_ASV2"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"20"	"BS2-1566-DD-A"	"Renibacterium_ASV1"	0.070381021	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"21"	"BS2-1566-DD-A"	"Psychrobium_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"22"	"BS2-1566-DD-D"	"Vibrio_ASV2"	0.011933861	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"23"	"BS2-1566-DD-D"	"Vibrio_ASV4"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"24"	"BS2-1566-DD-D"	"Halomonas_ASV1"	0.007620417	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"25"	"BS2-1566-DD-D"	"Halomonas_ASV2"	0.001869159	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"26"	"BS2-1566-DD-D"	"Photobacterium_ASV1"	0.006398275	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"27"	"BS2-1566-DD-D"	"Vibrio_ASV3"	0.002803738	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"28"	"BS2-1566-DD-D"	"Thalassobius_ASV1"	0.059309849	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"29"	"BS2-1566-DD-D"	"Halodesulfovibrio_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"30"	"BS2-1566-DD-D"	"Endozoicomonas_ASV2"	0.041840403	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"31"	"BS2-1566-DD-D"	"Roseibacillus_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"32"	"BS2-1566-DD-D"	"Renibacterium_ASV1"	0.000934579	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"33"	"BS2-1566-DD-D"	"Enhydrobacter_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"34"	"BS2-1566-DD-D"	"Pseudoalteromonas_ASV1"	0.010999281	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"35"	"BS2-1566-DD-D"	"Endozoicomonas_ASV3"	0.028324946	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"36"	"BS2-1566-DD-D"	"Pseudoalteromonas_ASV2"	0.010208483	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"37"	"BS2-1566-DD-D"	"Endozoicomonas_ASV1"	0.003666427	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"38"	"BS2-1566-DD-D"	"Nautella_ASV1"	0.065923796	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"39"	"BS2-1566-DD-D"	"Ruegeria_ASV1"	0.037167505	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"40"	"BS2-1566-DD-D"	"Psychrobium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"41"	"BS2-1566-DD-D"	"Vibrio_ASV1"	0.022142344	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"42"	"BS2-1566-DD-D"	"Other_n.716"	0.688856937	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"43"	"BS2-1566-DD-O"	"Halomonas_ASV1"	0.056617211	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"44"	"BS2-1566-DD-O"	"Enhydrobacter_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"45"	"BS2-1566-DD-O"	"Pseudoalteromonas_ASV1"	0.00925816	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"46"	"BS2-1566-DD-O"	"Renibacterium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"47"	"BS2-1566-DD-O"	"Halodesulfovibrio_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"48"	"BS2-1566-DD-O"	"Endozoicomonas_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"49"	"BS2-1566-DD-O"	"Ruegeria_ASV1"	0.006646884	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"50"	"BS2-1566-DD-O"	"Nautella_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"51"	"BS2-1566-DD-O"	"Vibrio_ASV1"	0.024332344	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"52"	"BS2-1566-DD-O"	"Photobacterium_ASV1"	0.03347181	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"53"	"BS2-1566-DD-O"	"Other_n.716"	0.7684273	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"54"	"BS2-1566-DD-O"	"Endozoicomonas_ASV3"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"55"	"BS2-1566-DD-O"	"Roseibacillus_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"56"	"BS2-1566-DD-O"	"Thalassobius_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"57"	"BS2-1566-DD-O"	"Pseudoalteromonas_ASV2"	0.011750742	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"58"	"BS2-1566-DD-O"	"Vibrio_ASV3"	0.020534125	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"59"	"BS2-1566-DD-O"	"Vibrio_ASV2"	0.014005935	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"60"	"BS2-1566-DD-O"	"Vibrio_ASV4"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"61"	"BS2-1566-DD-O"	"Psychrobium_ASV1"	0.001186944	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"62"	"BS2-1566-DD-O"	"Endozoicomonas_ASV1"	0.00189911	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"63"	"BS2-1566-DD-O"	"Halomonas_ASV2"	0.051869436	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"DD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"64"	"BS2-1566-HD-A"	"Vibrio_ASV1"	0.006464504	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"65"	"BS2-1566-HD-A"	"Photobacterium_ASV1"	0.003349788	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"66"	"BS2-1566-HD-A"	"Psychrobium_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"67"	"BS2-1566-HD-A"	"Halomonas_ASV1"	0.001880583	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"68"	"BS2-1566-HD-A"	"Vibrio_ASV2"	0.020627645	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"69"	"BS2-1566-HD-A"	"Pseudoalteromonas_ASV2"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"70"	"BS2-1566-HD-A"	"Endozoicomonas_ASV1"	0.003408557	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"71"	"BS2-1566-HD-A"	"Other_n.716"	0.876880583	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"72"	"BS2-1566-HD-A"	"Endozoicomonas_ASV3"	0.003114716	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"73"	"BS2-1566-HD-A"	"Pseudoalteromonas_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"74"	"BS2-1566-HD-A"	"Roseibacillus_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"75"	"BS2-1566-HD-A"	"Halodesulfovibrio_ASV1"	0.002762106	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"76"	"BS2-1566-HD-A"	"Ruegeria_ASV1"	0.011459803	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"77"	"BS2-1566-HD-A"	"Thalassobius_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"78"	"BS2-1566-HD-A"	"Enhydrobacter_ASV1"	0.003702398	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"79"	"BS2-1566-HD-A"	"Vibrio_ASV4"	0.016690174	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"80"	"BS2-1566-HD-A"	"Nautella_ASV1"	0	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"81"	"BS2-1566-HD-A"	"Endozoicomonas_ASV2"	0.007287259	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"82"	"BS2-1566-HD-A"	"Halomonas_ASV2"	0.001351669	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"83"	"BS2-1566-HD-A"	"Renibacterium_ASV1"	0.022038082	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"84"	"BS2-1566-HD-A"	"Vibrio_ASV3"	0.018982134	1566	"yes"	11.3	100	"none"	"BS2"	"MCAV"	"HD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"85"	"BS2-1566-HD-D"	"Vibrio_ASV4"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"86"	"BS2-1566-HD-D"	"Pseudoalteromonas_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"87"	"BS2-1566-HD-D"	"Endozoicomonas_ASV2"	0.038157127	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"88"	"BS2-1566-HD-D"	"Thalassobius_ASV1"	0.034074815	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"89"	"BS2-1566-HD-D"	"Halomonas_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"90"	"BS2-1566-HD-D"	"Enhydrobacter_ASV1"	0.122302758	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"91"	"BS2-1566-HD-D"	"Endozoicomonas_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"92"	"BS2-1566-HD-D"	"Renibacterium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"93"	"BS2-1566-HD-D"	"Nautella_ASV1"	0.080063318	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"94"	"BS2-1566-HD-D"	"Endozoicomonas_ASV3"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"95"	"BS2-1566-HD-D"	"Ruegeria_ASV1"	0.020161626	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"96"	"BS2-1566-HD-D"	"Roseibacillus_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"97"	"BS2-1566-HD-D"	"Vibrio_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"98"	"BS2-1566-HD-D"	"Halodesulfovibrio_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"99"	"BS2-1566-HD-D"	"Other_n.716"	0.679705074	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"100"	"BS2-1566-HD-D"	"Vibrio_ASV3"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"101"	"BS2-1566-HD-D"	"Vibrio_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"102"	"BS2-1566-HD-D"	"Halomonas_ASV1"	0.025535283	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"103"	"BS2-1566-HD-D"	"Psychrobium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"104"	"BS2-1566-HD-D"	"Pseudoalteromonas_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"105"	"BS2-1566-HD-D"	"Photobacterium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Jan"	2021	"Two months after treatment"	"NS2211"
"106"	"BS2-1566-HD-O"	"Renibacterium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"107"	"BS2-1566-HD-O"	"Enhydrobacter_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"108"	"BS2-1566-HD-O"	"Pseudoalteromonas_ASV1"	0.056876809	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"109"	"BS2-1566-HD-O"	"Vibrio_ASV3"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"110"	"BS2-1566-HD-O"	"Ruegeria_ASV1"	0.019252548	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"111"	"BS2-1566-HD-O"	"Halomonas_ASV1"	0.679501699	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"112"	"BS2-1566-HD-O"	"Photobacterium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"113"	"BS2-1566-HD-O"	"Endozoicomonas_ASV1"	0.001069586	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"114"	"BS2-1566-HD-O"	"Pseudoalteromonas_ASV2"	0.090851894	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"115"	"BS2-1566-HD-O"	"Endozoicomonas_ASV3"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"116"	"BS2-1566-HD-O"	"Roseibacillus_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"117"	"BS2-1566-HD-O"	"Halodesulfovibrio_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"118"	"BS2-1566-HD-O"	"Vibrio_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"119"	"BS2-1566-HD-O"	"Vibrio_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"120"	"BS2-1566-HD-O"	"Nautella_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"121"	"BS2-1566-HD-O"	"Endozoicomonas_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"122"	"BS2-1566-HD-O"	"Other_n.716"	0.152447464	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"123"	"BS2-1566-HD-O"	"Thalassobius_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"124"	"BS2-1566-HD-O"	"Vibrio_ASV4"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"125"	"BS2-1566-HD-O"	"Psychrobium_ASV1"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"126"	"BS2-1566-HD-O"	"Halomonas_ASV2"	0	1566	"yes"	11.3	100	"probiotic paste"	"BS2"	"MCAV"	"HD"	"YES"	"Oct"	2020	"Two weeks after treatment"	"NS2172"
"127"	"BS2-1689-DD-A"	"Ruegeria_ASV1"	0.000825846	1689	"yes"	15.6	53.2	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
"128"	"BS2-1689-DD-A"	"Halomonas_ASV1"	0.000726744	1689	"yes"	15.6	53.2	"none"	"BS2"	"MCAV"	"DD"	"NO"	"Aug"	2020	"Before treatment"	"NS2107"
